id,file,name,lineno,end_lineno,length,complexity,doc_present,cfd_tags,parameters
0218cca27ecfde13,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,solve_simple,1157,1436,280,145,True,boundary|flux|navier|pressure|residual|solver|stokes|velocity,grid|rho|mu|u|v|p|solver_params
945d7e019ab69ab9,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,visualize_results,1480,1528,49,9,True,mesh|pressure|velocity,grid|u|v|p
196455a995041930,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,assemble_momentum_matrix,1579,1779,201,83,True,boundary|flux|pressure|solver|velocity,grid|rho|mu|u|v|p|is_u_momentum
4b7f894e4faa707c,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,assemble_pressure_correction_matrix,1782,1982,201,129,True,boundary|pressure|velocity,grid|rho|u|v|ap_u|ap_v
c8752a1327cc31ce,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,solve_simple,1985,2201,217,107,True,boundary|navier|pressure|residual|solver|stokes|velocity,grid|rho|mu|u|v|p|solver_params
da5d3465d77a0bef,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,visualize_results,2204,2252,49,9,True,mesh|pressure|velocity,grid|u|v|p
ed62678f671b98be,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,assemble_momentum_matrix,2309,2509,201,83,True,boundary|flux|pressure|solver|velocity,grid|rho|mu|u|v|p|is_u_momentum
e65ca343a6330853,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,assemble_pressure_correction_matrix,2512,2712,201,129,True,boundary|pressure|velocity,grid|rho|u|v|ap_u|ap_v
77df8280c5fec5db,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,solve_simple,2715,2931,217,107,True,boundary|navier|pressure|residual|solver|stokes|velocity,grid|rho|mu|u|v|p|solver_params
905a99d88d0876ec,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,visualize_results,2934,2982,49,9,True,mesh|pressure|velocity,grid|u|v|p
d84b2a36f79ab1c5,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,visualize_results,3267,3315,49,9,True,mesh|pressure|velocity,grid|u|v|p
d8ad1e6dbef6c1d4,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_momentum_matrix,104,444,341,142,True,boundary|flux|pressure|residual|solver|velocity,grid|rho|mu|u|v|is_u_momentum
23340c168b8dc39c,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_pressure_correction_matrix,446,677,232,124,True,boundary|flux|pressure|velocity,grid|rho|u|v|ap_u|ap_v
97c2c627a26629bb,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_momentum_matrix,715,915,201,83,True,boundary|flux|pressure|solver|velocity,grid|rho|mu|u|v|p|is_u_momentum
e826147a008e77cb,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_pressure_correction_matrix,918,1113,196,128,True,boundary|pressure|velocity,grid|rho|u|v|ap_u|ap_v
4acf3d29b1d31a8d,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,solve_simple,1157,1436,280,145,True,boundary|flux|navier|pressure|residual|solver|stokes|velocity,grid|rho|mu|u|v|p|solver_params
3b0eccb74579a2e1,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,visualize_results,1480,1528,49,9,True,mesh|pressure|velocity,grid|u|v|p
fb6634820a8a791a,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_momentum_matrix,1579,1779,201,83,True,boundary|flux|pressure|solver|velocity,grid|rho|mu|u|v|p|is_u_momentum
ab474fa53d48e24f,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_pressure_correction_matrix,1782,1982,201,129,True,boundary|pressure|velocity,grid|rho|u|v|ap_u|ap_v
0a91c163d0516d2d,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,solve_simple,1985,2201,217,107,True,boundary|navier|pressure|residual|solver|stokes|velocity,grid|rho|mu|u|v|p|solver_params
05d6e2683420c125,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,visualize_results,2204,2252,49,9,True,mesh|pressure|velocity,grid|u|v|p
59b51042157ebf43,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_momentum_matrix,2309,2509,201,83,True,boundary|flux|pressure|solver|velocity,grid|rho|mu|u|v|p|is_u_momentum
06f9f0ee1b6c9c16,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_pressure_correction_matrix,2512,2712,201,129,True,boundary|pressure|velocity,grid|rho|u|v|ap_u|ap_v
1b12eb0676b4c228,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,solve_simple,2715,2931,217,107,True,boundary|navier|pressure|residual|solver|stokes|velocity,grid|rho|mu|u|v|p|solver_params
e7ddf3b0b83cad5b,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,visualize_results,2934,2982,49,9,True,mesh|pressure|velocity,grid|u|v|p
434930d12aacf0d6,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,visualize_results,3267,3315,49,9,True,mesh|pressure|velocity,grid|u|v|p
8bd2df38ebd475ef,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_momentum_matrix,4025,4225,201,83,True,boundary|flux|pressure|solver|velocity,grid|rho|mu|u|v|p|is_u_momentum
599864bdc58bf513,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_pressure_correction_matrix,4228,4428,201,129,True,boundary|pressure|velocity,grid|rho|u|v|ap_u|ap_v
cd282d99b7609322,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,solve_simple,4431,4647,217,107,True,boundary|navier|pressure|residual|solver|stokes|velocity,grid|rho|mu|u|v|p|solver_params
7beeea780dfe5de3,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_momentum_matrix,4815,5015,201,83,True,boundary|flux|pressure|solver|velocity,grid|rho|mu|u|v|p|is_u_momentum
47cb89c1b1b0e85d,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_pressure_correction_matrix,5018,5218,201,129,True,boundary|pressure|velocity,grid|rho|u|v|ap_u|ap_v
58e8afa9ad13641b,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,solve_simple,5221,5437,217,107,True,boundary|navier|pressure|residual|solver|stokes|velocity,grid|rho|mu|u|v|p|solver_params
fd4deb5a98c49370,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,visualize_results,5552,5600,49,9,True,mesh|pressure|velocity,grid|u|v|p
5de759ac89548b15,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,visualize_results,5612,5660,49,9,True,mesh|pressure|velocity,grid|u|v|p
20e4f3cc04c95ab8,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_momentum_matrix,6437,6637,201,83,True,boundary|flux|pressure|solver|velocity,grid|rho|mu|u|v|p|is_u_momentum
4f485a1c27ef28ff,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,assemble_pressure_correction_matrix,6640,6840,201,129,True,boundary|pressure|velocity,grid|rho|u|v|ap_u|ap_v
cd3bfe5ee6fea1d2,C:\Users\Elite\Documents\commands\Colab\cfd_v023.py,solve_simple,6843,7059,217,107,True,boundary|navier|pressure|residual|solver|stokes|velocity,grid|rho|mu|u|v|p|solver_params
48a7d1cdcb313ad6,C:\Users\Elite\Documents\commands\Colab\lid_ (1).py,create_grid,34,44,11,1,False,mesh,cfg
9cc1e6dbb89e4e90,C:\Users\Elite\Documents\commands\Colab\lid_ (1).py,plot_results,46,68,23,1,False,pressure|velocity,u|v|p|grid
78dbe047830a6ef8,C:\Users\Elite\Documents\commands\Colab\lid_ (1).py,solve,72,259,188,17,False,boundary|pressure|residual|solver|velocity,grid|config
de0f9d4df8abc1fe,C:\Users\Elite\Documents\commands\Colab\lid_.py,create_grid,34,44,11,1,False,mesh,cfg
42a2e2c06020e295,C:\Users\Elite\Documents\commands\Colab\lid_.py,plot_results,46,68,23,1,False,pressure|velocity,u|v|p|grid
9c97f311a597e490,C:\Users\Elite\Documents\commands\Colab\lid_.py,solve,72,172,101,13,False,boundary|pressure|residual|solver|velocity,grid|config
893a1cdf7855cc04,C:\Users\Elite\Documents\commands\Colab\lid_a1_ (1).py,create_grid,34,44,11,1,False,mesh,cfg
c978c0622a7377ee,C:\Users\Elite\Documents\commands\Colab\lid_a1_ (1).py,plot_results,46,68,23,1,False,pressure|velocity,u|v|p|grid
98fa12bbf3f5f959,C:\Users\Elite\Documents\commands\Colab\lid_a1_ (1).py,solve,72,259,188,17,False,boundary|pressure|residual|solver|velocity,grid|config
508830972c89e3ee,C:\Users\Elite\Documents\commands\Colab\lid_a1_ (1).py,create_grid,302,313,12,1,False,mesh,cfg
a133126b3308a760,C:\Users\Elite\Documents\commands\Colab\lid_a1_ (1).py,plot_results,315,337,23,1,False,pressure|velocity,u|v|p|grid
8df7c20af54da99a,C:\Users\Elite\Documents\commands\Colab\lid_a1_ (1).py,calculate_continuity_residual,340,348,9,1,False,residual,u_star|v_star|grid|config
b3ad2a64510d3a01,C:\Users\Elite\Documents\commands\Colab\lid_a1_ (1).py,solve,351,473,123,21,False,boundary|pressure|residual|solver,grid|config
68561ec4149aeddf,C:\Users\Elite\Documents\commands\Colab\lid_a1_ (1).py,create_staggered_grid,519,543,25,1,True,pressure|velocity,cfg
f83e872e6adf742d,C:\Users\Elite\Documents\commands\Colab\lid_a1_ (1).py,plot_results,545,579,35,3,True,mesh|pressure|velocity,u|v|p|grid|title
4b1eb97abc7f66b8,C:\Users\Elite\Documents\commands\Colab\lid_a1_ (1).py,solve_lid_driven_cavity,585,785,201,73,True,boundary|navier|pressure|residual|solver|stokes|velocity,grid|cfg
1e835cca59d0dbcb,C:\Users\Elite\Documents\commands\Colab\lid_a1_.py,create_grid,34,44,11,1,False,mesh,cfg
08b68000ad64a0b1,C:\Users\Elite\Documents\commands\Colab\lid_a1_.py,plot_results,46,68,23,1,False,pressure|velocity,u|v|p|grid
b53023aa6abfb718,C:\Users\Elite\Documents\commands\Colab\lid_a1_.py,solve,72,259,188,17,False,boundary|pressure|residual|solver|velocity,grid|config
a5d3687ed163fb7e,C:\Users\Elite\Documents\commands\Colab\lid_a1_.py,create_grid,302,313,12,1,False,mesh,cfg
0251f81566d7ad7a,C:\Users\Elite\Documents\commands\Colab\lid_a1_.py,plot_results,315,337,23,1,False,pressure|velocity,u|v|p|grid
d41d64d39cd92cd8,C:\Users\Elite\Documents\commands\Colab\lid_a1_.py,calculate_continuity_residual,340,348,9,1,False,residual,u_star|v_star|grid|config
f8ae6e2dc2a36b16,C:\Users\Elite\Documents\commands\Colab\lid_a1_.py,solve,351,473,123,21,False,boundary|pressure|residual|solver,grid|config
b0b229e895d4cd9c,C:\Users\Elite\Documents\commands\Colab\_12.py,get_scale,163,171,9,9,False,,number|scale_ranges|tolerance
0c5c6008797dda69,C:\Users\Elite\Documents\commands\Colab\_12.py,generate_name_and_abbreviation,173,185,13,9,False,,number|scale_ranges
63e804af969abb9a,C:\Users\Elite\Documents\commands\Colab\_12.py,add_finity_numbers,187,187,1,1,False,,n1|n2|cl
e4e2b5561596ed76,C:\Users\Elite\Documents\commands\Colab\_12.py,subtract_finity_numbers,188,188,1,1,False,,n1|n2|cl
65c5d7406f50d5af,C:\Users\Elite\Documents\commands\Colab\_12.py,multiply_finity_numbers,189,189,1,1,False,,n1|n2|cl
d99fac2fe1a51889,C:\Users\Elite\Documents\commands\Colab\_12.py,divide_finity_numbers,190,194,5,2,False,,n1|n2|cl
573e157ad8381f54,C:\Users\Elite\Documents\commands\Colab\_12.py,tokenize,251,276,26,7,False,,code
b61c62e28fec38db,C:\Users\Elite\Documents\commands\Colab\_12.py,get_scale,386,392,7,9,False,,number|tolerance
033c6ebf1076f64e,C:\Users\Elite\Documents\commands\Colab\_12.py,generate_name_and_abbreviation,394,403,10,8,False,,number
389b8e11ea673083,C:\Users\Elite\Documents\commands\Colab\_12.py,add_finity,405,405,1,1,False,,n1|n2
d46c4a4e3cfc849e,C:\Users\Elite\Documents\commands\Colab\_12.py,sub_finity,406,406,1,1,False,,n1|n2
3b5409aeb388a847,C:\Users\Elite\Documents\commands\Colab\_12.py,mul_finity,407,407,1,1,False,,n1|n2
ffdb109dee646961,C:\Users\Elite\Documents\commands\Colab\_12.py,div_finity,408,410,3,2,False,,n1|n2
c2b3840058938c89,C:\Users\Elite\Documents\commands\Colab\_12.py,tokenize,439,459,21,6,False,,code
fc05b40ea2829714,C:\Users\Elite\Documents\commands\Colab\_12.py,tokenize,743,770,28,6,False,,code
ad008a12f56c1a45,C:\Users\Elite\Documents\commands\Colab\_12.py,get_scale,1335,1341,7,9,False,,number|tolerance
d91928272cd9ff3f,C:\Users\Elite\Documents\commands\Colab\_12.py,generate_name_and_abbreviation,1343,1352,10,8,False,,number
11fb47fb3bbfc5e9,C:\Users\Elite\Documents\commands\Colab\_12.py,add_finity,1354,1354,1,1,False,,n1|n2
72c07dae74c811b1,C:\Users\Elite\Documents\commands\Colab\_12.py,sub_finity,1355,1355,1,1,False,,n1|n2
1c3be12e063f2182,C:\Users\Elite\Documents\commands\Colab\_12.py,mul_finity,1356,1356,1,1,False,,n1|n2
978e226240212e70,C:\Users\Elite\Documents\commands\Colab\_12.py,div_finity,1357,1359,3,2,False,,n1|n2
43d4f7458f022d9a,C:\Users\Elite\Documents\commands\Colab\_12.py,tokenize,1392,1418,27,6,False,,code
f6b7a6ef8f61b2ce,C:\Users\Elite\Documents\commands\Colab\_12.py,__init__,21,50,30,4,False,boundary,self
ab617876cfce124b,C:\Users\Elite\Documents\commands\Colab\_12.py,_sly4_eos_only,52,55,4,1,False,,self|rho_geom
13781a70581da9d0,C:\Users\Elite\Documents\commands\Colab\_12.py,_finitude_eos_only,57,58,2,1,False,,self|rho_geom
485041e3eae41314,C:\Users\Elite\Documents\commands\Colab\_12.py,_blending_function,60,62,3,1,False,,self|rho_geom
27d55dae8b123dd1,C:\Users\Elite\Documents\commands\Colab\_12.py,get_eos,64,79,16,5,True,pressure,self|rho_geom
42260ac7794af710,C:\Users\Elite\Documents\commands\Colab\_12.py,setUp,92,95,4,3,True,,self
efe48d83707c1608,C:\Users\Elite\Documents\commands\Colab\_12.py,test_eos_values,97,126,30,1,False,pressure,self
335d7ce9516e19aa,C:\Users\Elite\Documents\commands\Colab\_12.py,__init__,206,210,5,6,False,,self|value
0160828c6a1e92da,C:\Users\Elite\Documents\commands\Colab\_12.py,get_value,211,211,1,1,False,,self
b15111c820b23713,C:\Users\Elite\Documents\commands\Colab\_12.py,__str__,212,215,4,2,False,,self
8da2477679353efc,C:\Users\Elite\Documents\commands\Colab\_12.py,__repr__,216,216,1,1,False,,self
b7636bc83cdcf1f6,C:\Users\Elite\Documents\commands\Colab\_12.py,__add__,217,219,3,4,False,,self|other
48789241102f3d56,C:\Users\Elite\Documents\commands\Colab\_12.py,__sub__,220,222,3,4,False,,self|other
77820bf67143bd96,C:\Users\Elite\Documents\commands\Colab\_12.py,__mul__,223,225,3,4,False,,self|other
666ab4ed81324a55,C:\Users\Elite\Documents\commands\Colab\_12.py,__truediv__,226,228,3,4,False,,self|other
ff8a70f7586db278,C:\Users\Elite\Documents\commands\Colab\_12.py,__lt__,229,231,3,4,False,,self|other
9385c9c481b32833,C:\Users\Elite\Documents\commands\Colab\_12.py,__le__,232,235,4,5,False,,self|other
bcb40885ed23787f,C:\Users\Elite\Documents\commands\Colab\_12.py,__eq__,236,239,4,5,False,,self|other
54f68af13d81890b,C:\Users\Elite\Documents\commands\Colab\_12.py,__ne__,240,240,1,1,False,,self|other
592c0a71803a4bcf,C:\Users\Elite\Documents\commands\Colab\_12.py,__gt__,241,243,3,4,False,,self|other
51371a3a3506c667,C:\Users\Elite\Documents\commands\Colab\_12.py,__ge__,244,247,4,5,False,,self|other
bd4f9747e7bbb976,C:\Users\Elite\Documents\commands\Colab\_12.py,__init__,279,280,2,2,False,,self|type|value|children
880839e9d473eb05,C:\Users\Elite\Documents\commands\Colab\_12.py,__repr__,281,282,2,2,False,,self
205ef32769a6f3ea,C:\Users\Elite\Documents\commands\Colab\_12.py,__init__,285,285,1,1,False,,self|tokens
87a484f6913c6f6c,C:\Users\Elite\Documents\commands\Colab\_12.py,current,286,286,1,2,False,,self
8f8be585d0ee5328,C:\Users\Elite\Documents\commands\Colab\_12.py,consume,287,289,3,4,False,,self|type
657e40d64ee67fa0,C:\Users\Elite\Documents\commands\Colab\_12.py,parse,290,293,4,2,False,,self
2132806d99f054c9,C:\Users\Elite\Documents\commands\Colab\_12.py,parse_statement,294,303,10,4,False,,self
0e9c7c7200ad49b5,C:\Users\Elite\Documents\commands\Colab\_12.py,parse_expression,304,309,6,3,False,,self
f39a495c5173ad06,C:\Users\Elite\Documents\commands\Colab\_12.py,parse_operand,310,314,5,6,False,,self
cd50b8b82816aff8,C:\Users\Elite\Documents\commands\Colab\_12.py,__init__,317,318,2,1,False,,self
20259a6b263b4e07,C:\Users\Elite\Documents\commands\Colab\_12.py,interpret,319,320,2,3,False,,self|ast
442a8008ec590551,C:\Users\Elite\Documents\commands\Colab\_12.py,execute,321,327,7,7,False,,self|node
852c8c74f6ad3647,C:\Users\Elite\Documents\commands\Colab\_12.py,evaluate,328,336,9,8,False,,self|node
5d4dcdd0560b8d56,C:\Users\Elite\Documents\commands\Colab\_12.py,__init__,413,415,3,4,False,,self|value
6b51774bb00e26a3,C:\Users\Elite\Documents\commands\Colab\_12.py,get_value,416,416,1,1,False,,self
cdd69858e775ea2e,C:\Users\Elite\Documents\commands\Colab\_12.py,__str__,417,420,4,2,False,,self
9e3861faed3e21fb,C:\Users\Elite\Documents\commands\Colab\_12.py,__repr__,421,421,1,1,False,,self
e83111032a5b18a4,C:\Users\Elite\Documents\commands\Colab\_12.py,__add__,422,424,3,3,False,,self|other
38306a08500e4e04,C:\Users\Elite\Documents\commands\Colab\_12.py,__sub__,425,427,3,3,False,,self|other
74c96180c812f0ae,C:\Users\Elite\Documents\commands\Colab\_12.py,__mul__,428,430,3,3,False,,self|other
4a340ab41db9d1dd,C:\Users\Elite\Documents\commands\Colab\_12.py,__truediv__,431,433,3,3,False,,self|other
b0fc287e63ea4f78,C:\Users\Elite\Documents\commands\Colab\_12.py,__eq__,434,434,1,2,False,,self|other
24036a072cfe6b65,C:\Users\Elite\Documents\commands\Colab\_12.py,__lt__,435,435,1,3,False,,self|other
53c4cc7f4e3df01d,C:\Users\Elite\Documents\commands\Colab\_12.py,__init__,462,462,1,1,False,,self|tokens
cb79affdddb61d9b,C:\Users\Elite\Documents\commands\Colab\_12.py,current,463,463,1,2,False,,self
e0075cfc9a81c330,C:\Users\Elite\Documents\commands\Colab\_12.py,consume,464,467,4,4,False,,self|type
d025d952b326e35c,C:\Users\Elite\Documents\commands\Colab\_12.py,parse,468,472,5,2,False,,self
90fe7159ca21da5b,C:\Users\Elite\Documents\commands\Colab\_12.py,parse_statement,473,482,10,2,False,,self
b53adc139f31922c,C:\Users\Elite\Documents\commands\Colab\_12.py,parse_expression,483,500,18,8,False,,self
3de040a7603c9944,C:\Users\Elite\Documents\commands\Colab\_12.py,__init__,503,503,1,1,False,,self
960b7a0ec55e2647,C:\Users\Elite\Documents\commands\Colab\_12.py,interpret,504,505,2,3,False,,self|ast
b96a760d94a25188,C:\Users\Elite\Documents\commands\Colab\_12.py,execute,506,517,12,11,False,,self|node
a8c959ad3fb9c7e2,C:\Users\Elite\Documents\commands\Colab\_12.py,evaluate,518,527,10,8,False,,self|node
3913f1402c74cf23,C:\Users\Elite\Documents\commands\Colab\_12.py,__init__,535,535,1,1,False,,self|tokens
9de8afc6242c886d,C:\Users\Elite\Documents\commands\Colab\_12.py,current,536,536,1,2,False,,self
e01746615c9f67e0,C:\Users\Elite\Documents\commands\Colab\_12.py,consume,537,540,4,4,False,,self|type
a7ca9b6a3eb26725,C:\Users\Elite\Documents\commands\Colab\_12.py,parse,541,545,5,2,False,,self
7d6502596cb4288c,C:\Users\Elite\Documents\commands\Colab\_12.py,parse_statement,546,563,18,11,False,,self
06b691ea465e1306,C:\Users\Elite\Documents\commands\Colab\_12.py,parse_expression,565,585,21,16,False,,self
2b3f17b9a1775651,C:\Users\Elite\Documents\commands\Colab\_12.py,__init__,589,589,1,1,False,,self
1494045d1c832377,C:\Users\Elite\Documents\commands\Colab\_12.py,interpret,590,591,2,3,False,,self|ast
ad4483d32e2563c2,C:\Users\Elite\Documents\commands\Colab\_12.py,execute,592,598,7,7,False,,self|node
ce5687d781c7bd45,C:\Users\Elite\Documents\commands\Colab\_12.py,evaluate,599,608,10,8,False,,self|node
860b2e1099e6ffbc,C:\Users\Elite\Documents\commands\Colab\_12.py,__init__,774,774,1,1,False,,self|tokens
